Size_m2,Bedrooms,Bathrooms,Distance_km,Age_years,HasGarage,NearbySchools,Floor,Price_USD
102.51,7,4,16.44,40.6,1,1,9,276087.14
46.73,4,4,13.12,23.6,0,1,1,163149.86
150.37,2,2,31.31,103.3,0,0,10,181343.22
173.81,5,4,30.41,17.6,0,4,13,278798.42
130.4,2,2,19.25,109.0,1,4,14,234070.75
336.63,2,1,1.98,34.0,1,1,3,398338.02
162.0,5,4,12.52,107.9,1,1,6,260466.1
133.95,6,4,11.83,94.9,0,2,11,219731.05
230.8,1,1,32.48,69.8,0,1,4,228033.77
82.14,4,4,3.69,80.3,1,1,3,206063.62
326.81,2,1,32.27,39.1,1,2,6,327240.11
57.58,5,4,26.83,68.9,0,2,13,156943.68
395.15,3,2,29.35,35.1,1,1,11,429859.75
315.73,2,1,17.4,48.3,1,2,3,346412.5
103.52,4,4,27.25,91.8,1,3,7,247688.66
32.04,1,1,24.44,29.3,1,3,12,98007.62
331.72,2,2,30.81,100.7,0,7,1,379192.89
291.54,2,2,17.98,45.1,1,1,9,384386.18
299.73,6,4,19.02,63.9,1,4,13,438530.4
315.37,5,4,25.81,113.0,0,2,10,396305.61
57.4,3,3,4.5,81.8,1,2,2,172175.08
162.63,3,3,17.56,77.5,1,0,4,271517.5
72.87,7,4,38.88,85.4,0,2,6,221688.25
349.35,1,1,1.69,110.2,0,3,6,335423.02
260.62,7,4,12.78,29.8,1,1,11,389729.59
152.43,4,3,12.7,73.6,1,0,8,225247.54
53.52,1,1,25.41,48.0,1,1,8,92293.37
145.06,2,2,4.41,1.4,0,0,4,170646.57
150.32,2,2,25.22,15.0,1,0,6,219984.76
299.95,3,3,3.98,39.0,1,0,9,332430.82
265.9,4,3,3.98,67.8,1,2,7,417358.29
358.27,5,4,29.18,105.8,0,2,13,392399.59
204.72,4,3,13.1,94.9,1,0,8,279025.68
74.25,2,1,39.1,66.4,1,0,8,92771.09
293.9,5,4,1.69,8.9,1,3,2,478513.86
311.49,4,4,17.92,34.3,1,3,7,422814.77
237.67,4,3,4.7,44.0,0,2,3,299253.75
315.26,5,4,14.18,74.6,0,1,7,403577.9
212.7,2,2,39.93,7.8,0,3,2,244223.86
223.41,4,4,35.58,63.6,0,3,1,308892.8
188.19,5,4,2.12,108.2,1,0,11,284476.79
39.41,6,4,22.62,84.7,0,3,9,186726.06
69.92,6,4,25.98,95.6,1,2,10,212171.01
41.63,2,2,8.54,81.8,1,3,10,155631.88
265.47,5,4,5.98,24.8,0,1,1,373876.84
146.31,6,4,36.19,13.3,0,1,11,256425.8
218.17,5,4,38.76,99.5,0,2,1,292552.32
365.8,4,4,39.68,83.5,0,4,11,452974.73
122.24,2,2,31.63,69.0,0,1,12,161473.85
181.84,6,4,26.61,22.7,1,0,12,299766.81
309.55,7,4,13.96,72.4,0,2,3,502647.78
114.66,4,3,7.02,3.8,0,2,1,203643.96
58.48,7,4,3.34,14.3,0,3,7,214292.13
137.21,7,4,27.79,37.4,0,4,7,301987.63
89.65,1,1,31.43,53.2,1,2,11,115471.8
373.99,1,1,33.09,14.5,0,1,8,332830.29
329.0,2,2,36.57,14.4,1,3,2,406956.88
264.36,6,4,35.22,87.1,0,2,7,407395.61
352.44,6,4,39.99,68.4,1,1,9,433535.23
327.36,6,4,9.91,64.0,1,3,14,495139.51
99.03,5,4,30.58,54.3,1,0,11,206139.91
360.25,4,4,23.54,117.2,1,3,10,393189.24
229.56,6,4,10.6,6.0,1,4,5,409657.2
328.75,4,3,39.28,21.7,1,4,10,367004.79
361.55,2,2,35.94,77.7,1,2,14,367166.88
147.66,7,4,5.31,16.4,1,5,3,332750.83
70.72,6,4,1.24,70.7,1,0,9,228102.85
114.34,2,1,27.6,68.1,1,4,1,194384.42
188.03,6,4,24.24,116.5,0,1,12,269498.23
332.67,1,1,37.45,106.0,1,1,14,356883.21
348.47,3,3,9.51,113.5,1,0,3,411585.12
32.57,2,2,3.56,13.6,1,1,2,98716.85
218.98,6,4,10.52,104.2,1,1,2,370954.83
184.44,3,2,0.95,15.5,0,3,14,301394.06
112.18,2,1,1.63,76.0,1,3,3,169786.46
74.35,5,4,36.61,86.4,1,3,10,168191.38
154.92,6,4,14.21,19.3,1,0,7,292131.52
378.88,5,4,16.55,75.9,0,2,13,418314.47
149.59,1,1,0.93,6.3,0,0,6,187048.28
221.95,6,4,10.97,35.2,1,2,12,331954.38
290.12,7,4,32.23,110.5,1,1,9,430712.51
164.54,1,1,24.7,20.6,1,1,10,190528.05
389.56,3,3,30.2,7.8,0,2,13,449603.83
386.11,2,2,18.0,53.2,1,3,11,425186.93
123.16,4,3,12.53,102.1,1,3,10,240005.25
213.98,1,1,19.42,9.2,1,3,14,228211.31
141.32,4,3,13.06,42.7,1,2,3,263363.65
135.39,4,4,33.59,108.0,1,4,13,218074.67
43.65,2,2,12.05,14.2,1,3,5,149251.9
255.54,3,2,26.46,37.3,1,4,9,323621.54
215.99,2,2,5.65,93.4,1,3,3,308967.45
49.05,6,4,27.54,65.2,1,4,12,193518.02
133.1,1,1,36.55,99.9,1,3,8,131435.92
366.06,4,3,24.42,13.4,0,2,9,434526.97
118.64,2,2,22.48,110.5,0,2,11,202213.15
83.61,2,2,38.45,112.2,0,2,11,125520.32
211.1,2,2,25.17,18.6,0,4,7,232236.39
394.69,1,1,10.53,4.1,1,0,13,418385.69
119.56,3,3,11.84,118.8,1,3,6,192151.63
278.69,7,4,28.27,57.9,0,3,13,375119.12
311.8,2,1,29.47,68.6,1,1,11,333528.42
117.93,1,1,12.28,73.9,1,6,6,164464.71
299.44,4,4,13.94,94.8,1,1,6,371489.91
166.08,6,4,39.64,97.4,1,1,5,268302.49
263.95,7,4,4.26,23.3,0,3,7,413845.15
264.41,5,4,16.3,28.4,1,3,7,382796.9
228.24,7,4,2.69,105.2,0,6,7,373251.0
63.41,7,4,32.88,98.3,1,2,3,197985.0
339.06,1,1,3.88,74.1,1,3,11,380304.75
148.69,5,4,27.03,119.4,1,2,6,244924.36
99.01,2,1,2.45,88.2,1,3,9,179051.31
45.09,2,1,26.98,25.9,0,3,9,74714.06
248.63,7,4,33.75,101.6,1,4,4,335045.36
280.7,1,1,16.07,49.8,1,2,9,301509.85
36.14,5,4,20.98,4.3,1,2,2,201650.17
219.47,2,1,16.18,38.6,1,5,8,264826.15
113.8,4,4,12.16,91.6,1,3,2,232316.2
268.71,3,3,32.17,115.2,0,1,5,314757.49
94.52,3,3,11.03,33.1,1,2,6,238756.59
285.65,2,2,28.97,29.6,0,1,2,337208.36
173.09,5,4,8.41,67.6,1,2,9,310845.68
376.59,6,4,10.14,97.4,1,3,6,520943.88
80.88,2,1,13.59,89.6,1,1,8,134266.87
156.19,6,4,23.65,67.2,1,0,4,254529.91
71.99,6,4,18.29,75.8,0,3,3,234087.16
372.14,5,4,29.86,29.1,0,2,4,491652.91
354.62,6,4,8.7,51.9,0,3,1,431580.98
125.44,4,3,0.62,30.6,0,0,1,213686.37
274.19,5,4,31.11,106.1,1,2,8,413704.53
332.37,2,1,32.9,13.5,0,0,1,341833.88
235.42,7,4,2.57,81.6,0,1,5,346059.14
225.97,4,4,24.51,31.2,0,2,10,340848.67
119.49,1,1,15.25,57.1,1,2,9,162736.88
64.45,3,2,31.8,35.9,1,2,3,178129.62
361.97,2,1,35.0,38.8,1,0,10,380467.65
363.15,2,2,34.07,31.2,1,3,2,352308.11
264.25,2,2,31.13,90.3,1,6,5,359029.65
155.44,4,4,10.91,43.9,0,1,12,222564.61
159.21,1,1,32.51,87.2,1,2,14,162820.46
298.6,7,4,21.43,54.7,1,3,2,481289.13
361.93,5,4,2.3,65.7,1,3,10,546102.21
358.22,1,1,18.39,65.2,0,2,1,350751.54
318.55,4,4,37.7,117.1,1,1,11,398041.84
267.55,2,2,35.54,44.0,0,3,9,256980.66
61.13,3,3,4.27,24.9,0,1,11,140032.47
89.8,2,1,29.82,109.4,0,4,10,133625.61
362.47,5,4,32.27,21.0,1,0,11,472734.35
254.38,6,4,11.0,100.1,1,1,9,429326.8
33.4,3,2,18.97,18.0,0,0,1,65504.39
67.54,2,2,28.5,79.0,0,2,4,66118.83
275.5,7,4,17.67,18.1,0,2,5,394277.97
31.87,3,3,4.69,110.8,1,6,12,126495.67
89.5,6,4,28.29,67.8,1,2,2,257864.95
233.03,1,1,36.48,39.5,1,4,11,244858.23
286.0,4,3,26.17,16.8,0,3,9,329037.98
271.23,2,1,31.0,44.5,0,0,9,282457.56
112.98,5,4,14.46,84.6,1,3,9,228813.34
293.51,1,1,7.49,46.2,1,1,8,297604.24
117.78,2,1,25.78,29.5,1,0,6,192370.06
150.4,1,1,13.25,69.3,0,2,1,197543.92
306.2,5,4,34.43,50.1,1,2,14,434731.46
270.36,2,2,5.08,19.9,1,6,10,331035.48
344.21,6,4,17.45,18.5,1,1,5,466870.44
273.32,6,4,15.99,84.9,1,1,8,416474.9
240.27,5,4,37.53,117.0,0,4,12,334487.73
64.66,3,2,6.29,28.0,0,4,14,137683.54
166.05,5,4,0.59,92.8,0,1,4,307545.04
128.12,3,3,9.68,10.5,0,1,8,156845.29
120.28,2,1,32.85,45.8,1,1,6,147918.17
390.01,3,3,8.53,60.8,0,1,1,496804.58
175.45,2,2,9.79,32.2,0,2,1,224894.51
360.06,2,1,5.37,63.5,0,3,3,370885.79
263.52,7,4,28.67,105.9,1,4,1,417897.66
324.08,4,4,2.95,113.3,0,2,4,380319.16
215.98,2,2,13.38,12.1,0,0,3,199198.41
243.45,3,2,11.44,32.6,1,0,7,393153.45
212.23,4,3,22.3,117.5,1,1,11,270366.59
102.24,4,3,29.27,32.5,0,2,9,187392.68
297.31,2,1,21.41,83.1,0,1,7,304756.52
133.89,5,4,37.25,30.4,1,2,11,268075.1
39.0,5,4,38.07,42.8,1,3,5,152420.51
268.82,6,4,14.59,23.0,1,1,1,350234.6
95.53,4,3,31.15,102.8,1,2,5,170773.9
377.97,2,1,29.6,105.9,0,3,1,372213.58
382.95,7,4,35.74,35.6,1,0,6,513250.56
368.5,5,4,18.03,98.8,1,2,13,510487.93
166.96,7,4,21.31,43.0,0,2,8,295523.22
35.72,2,2,16.75,11.9,1,2,7,124727.85
373.48,2,2,34.05,91.0,0,1,1,352941.83
188.43,4,4,9.34,71.6,1,2,8,291155.48
387.66,7,4,9.74,32.9,0,3,12,567449.21
386.54,6,4,15.03,30.4,0,4,14,481754.03
345.61,4,3,9.37,117.1,1,5,14,425676.99
138.95,1,1,22.53,103.5,0,2,14,162118.94
172.49,7,4,5.55,97.2,0,3,9,359596.15
344.92,5,4,12.94,15.4,0,0,12,460243.88
147.26,5,4,36.56,90.6,1,2,10,277254.77
92.71,5,4,16.49,25.7,1,4,14,208924.69
236.02,3,3,29.98,117.3,1,1,2,309380.73
376.38,2,1,4.72,6.3,1,1,1,421142.68
287.53,4,4,10.05,42.3,1,1,6,412017.36
240.92,5,4,32.33,51.4,1,1,12,342813.43
65.96,1,1,30.57,98.9,0,6,4,65720.8
257.55,5,4,15.57,91.9,1,1,14,332888.03
396.32,6,4,38.18,45.0,0,2,7,482575.29
81.83,2,2,36.44,67.9,0,1,3,112735.15
221.78,7,4,38.5,100.3,1,2,3,302863.17
354.63,2,1,17.23,2.2,1,4,14,387783.69
304.08,7,4,8.06,96.3,0,1,8,418576.6
287.9,7,4,25.14,113.6,1,1,7,433018.72
289.92,4,3,27.45,3.8,1,2,5,372900.68
163.01,3,2,5.19,5.5,0,1,3,250634.38
138.63,7,4,31.5,41.3,1,5,1,312452.61
329.46,7,4,0.92,10.5,0,1,11,491594.07
329.74,4,3,19.41,57.5,0,0,3,376677.37
350.82,5,4,13.37,87.4,1,6,9,468086.56
367.9,6,4,29.66,68.0,0,6,1,488969.27
219.2,1,1,12.65,23.6,1,1,5,233200.99
215.56,4,4,33.11,78.6,0,1,4,282853.39
325.37,3,3,23.88,82.2,0,2,11,389153.76
270.49,4,3,31.8,111.9,1,4,14,329567.73
289.73,2,1,39.58,17.6,1,2,6,328724.36
324.44,5,4,27.23,83.1,0,0,2,400645.4
359.3,5,4,39.4,109.4,1,3,4,487954.85
155.06,7,4,1.35,60.2,0,1,9,302832.63
168.97,5,4,13.66,43.4,1,1,14,312840.04
64.77,5,4,4.49,20.5,1,4,11,222793.29
243.96,5,4,10.64,104.0,1,3,5,355971.32
43.3,5,4,33.59,47.3,0,1,8,152001.06
202.27,1,1,1.49,111.0,0,4,2,205483.62
230.78,3,3,20.9,101.7,1,2,12,326435.44
136.02,7,4,22.77,45.2,0,2,11,300669.53
248.61,5,4,22.53,68.9,0,3,9,345490.18
41.29,7,4,19.12,3.3,1,0,12,203864.41
43.82,3,2,31.67,31.6,1,2,7,131681.05
334.36,6,4,5.52,85.2,1,1,7,435887.43
163.27,5,4,12.56,81.3,1,1,2,274159.5
77.01,7,4,24.71,42.4,1,0,8,209758.12
223.23,4,4,27.7,97.0,0,0,9,268123.52
314.9,7,4,16.29,28.3,0,5,10,437798.57
109.85,5,4,35.04,55.4,1,2,11,198427.42
260.47,2,1,16.74,56.7,1,3,12,297481.22
61.58,1,1,16.23,40.9,1,3,5,109763.19
49.12,4,4,1.64,114.6,0,4,3,174545.85
226.6,4,4,22.14,83.6,1,3,14,331039.09
230.03,2,2,28.41,64.7,0,3,3,292115.19
265.85,5,4,4.75,61.3,1,1,13,406963.45
298.65,1,1,12.36,19.1,0,3,13,368241.05
391.07,4,3,31.29,44.7,1,1,6,437155.33
221.03,1,1,14.76,80.7,1,0,14,264706.11
149.49,4,4,9.82,110.9,1,1,1,222572.95
324.22,5,4,26.95,98.0,1,1,10,448723.37
130.21,6,4,8.03,36.0,0,1,11,271180.1
192.42,4,4,35.85,52.1,1,2,9,286299.95
59.03,6,4,4.4,10.0,1,2,6,240689.79
39.38,4,4,28.32,12.3,0,3,9,132232.97
386.18,3,2,20.08,56.4,1,1,3,427885.73
339.31,5,4,34.82,63.6,1,1,10,447611.56
287.51,2,1,5.22,31.7,0,2,13,274159.24
181.31,6,4,27.18,77.1,0,1,3,296956.47
94.12,2,2,22.97,84.4,1,3,10,151453.74
87.88,5,4,19.31,35.9,0,3,13,195873.58
122.59,7,4,19.76,91.0,0,2,7,241968.76
233.21,2,2,28.93,24.7,1,4,7,299209.45
294.4,5,4,37.52,65.3,0,1,4,396712.07
274.27,2,1,3.83,96.5,0,1,11,344363.75
133.58,6,4,0.98,64.4,0,1,14,291133.83
383.3,3,3,32.27,109.0,0,5,8,436904.97
303.02,2,2,4.51,7.0,1,0,11,346707.51
235.11,6,4,39.47,70.6,1,5,14,346010.44
256.34,4,3,24.85,67.4,1,2,2,347100.59
185.25,5,4,26.1,79.2,1,4,1,322858.56
121.66,1,1,8.12,100.0,1,4,1,156622.52
161.71,7,4,9.76,87.1,0,3,2,333386.65
310.4,1,1,26.44,94.8,1,1,11,297273.83
35.33,5,4,36.41,34.7,1,2,11,134396.68
72.95,3,2,39.3,46.5,0,1,6,141758.58
47.02,2,1,8.08,75.2,0,2,8,92440.71
45.07,3,2,5.54,66.4,0,0,3,104887.09
346.52,1,1,2.44,115.3,1,2,12,330588.83
290.35,7,4,34.76,22.4,0,2,6,434608.78
205.44,6,4,11.93,42.2,0,1,8,386955.31
66.2,7,4,0.27,68.7,1,0,9,253360.97
211.9,5,4,9.11,104.2,1,1,8,317362.24
205.18,5,4,13.75,111.5,0,0,7,300359.98
94.08,3,2,39.64,40.3,1,2,4,179106.88
190.53,6,4,21.04,8.1,1,3,3,359327.16
177.45,3,2,8.35,50.6,1,2,7,242234.51
257.86,2,2,13.53,47.3,1,0,1,301065.51
264.98,4,3,13.35,118.4,1,1,7,330479.36
46.76,6,4,0.99,51.7,1,2,6,227921.95
168.61,4,3,5.58,36.7,1,4,3,292879.53
261.57,7,4,27.87,43.8,1,4,14,440592.09
216.16,2,1,4.99,47.6,0,1,3,254431.44
346.9,4,4,9.38,98.6,0,1,2,438317.08
273.72,1,1,14.16,9.7,1,1,1,304528.06
90.29,7,4,30.36,38.0,0,1,11,176824.83
56.11,4,4,23.38,116.0,1,4,5,206561.52
267.7,2,2,27.62,18.4,1,3,13,324353.98
39.81,4,3,22.77,89.1,0,1,7,127296.24
246.74,5,4,27.41,42.8,1,2,7,386718.51
377.89,3,2,0.31,69.8,1,4,6,461967.8
242.93,1,1,37.25,11.9,1,1,11,213684.5
173.62,5,4,4.61,36.8,0,2,10,283521.71
268.02,5,4,16.37,60.1,1,3,6,382634.02
199.55,2,2,30.89,27.8,1,0,11,235092.71
231.88,3,3,17.52,65.0,0,3,7,286972.92
378.34,3,3,37.88,26.4,1,1,8,437965.21
172.86,6,4,18.81,78.0,1,2,5,362757.79
385.64,7,4,35.02,108.5,1,1,1,516740.38
364.98,1,1,32.47,10.3,1,2,7,399345.16
102.44,7,4,39.24,26.0,1,1,2,245640.44
55.66,2,2,37.08,101.3,0,1,11,110647.48
67.29,1,1,35.95,75.8,0,1,5,69385.72
36.74,6,4,29.32,9.4,1,1,7,191503.59
64.94,4,3,14.81,58.4,1,1,7,132587.14
282.71,5,4,4.42,25.2,1,2,9,437897.03
56.34,1,1,27.61,23.9,1,1,5,121425.05
148.02,7,4,39.15,112.9,1,2,6,305649.18
342.6,5,4,29.12,91.4,1,0,10,400625.47
38.61,2,1,37.16,83.5,1,3,14,102465.31
331.35,7,4,32.21,28.7,1,4,12,468656.53
134.29,4,3,6.69,14.2,1,2,11,225326.82
73.72,2,1,10.12,104.5,1,1,6,180238.04
287.79,4,4,13.81,0.7,1,2,1,448065.81
262.71,4,3,6.9,46.6,1,5,10,393380.6
354.66,5,4,23.35,33.3,0,3,7,461633.98
301.98,2,2,39.02,68.4,1,2,10,371194.49
327.29,2,1,30.51,30.1,1,0,7,341099.81
134.35,1,1,17.05,37.3,1,2,4,240464.83
95.65,7,4,0.38,102.0,1,1,4,267592.72
307.73,2,2,12.67,72.4,0,1,11,354012.84
328.53,1,1,21.17,17.5,0,3,6,347395.03
396.49,3,2,13.11,87.2,1,1,3,426293.29
182.67,3,2,4.62,24.9,0,4,14,253456.68
167.65,3,2,17.82,52.0,1,3,14,282354.33
317.27,6,4,10.28,77.6,1,4,10,437933.39
156.1,2,2,36.39,32.6,1,3,6,246705.67
374.38,6,4,4.25,46.1,0,0,11,499993.9
347.61,7,4,2.16,88.1,1,2,11,465296.3
188.73,2,1,0.41,112.5,0,5,4,225326.19
307.82,1,1,13.26,63.5,1,2,10,330771.17
309.18,6,4,26.48,1.2,1,3,8,424642.16
68.16,6,4,29.27,40.6,0,1,5,197713.21
363.94,7,4,18.24,47.8,0,1,13,445336.73
216.94,6,4,27.44,40.7,0,0,8,344836.85
335.79,4,3,14.52,52.4,0,2,9,381222.24
148.42,1,1,26.78,75.9,1,2,4,167918.82
361.34,3,3,1.82,14.5,1,2,1,457587.67
174.0,1,1,15.75,32.7,1,2,10,251473.1
34.01,4,3,31.68,60.9,1,4,7,112587.82
364.99,7,4,32.16,37.9,0,2,13,461499.59
63.78,7,4,28.7,118.9,0,2,7,191859.43
148.15,2,1,8.33,51.8,0,2,5,182958.31
381.52,1,1,10.04,104.4,1,1,5,396423.91
381.72,7,4,39.84,107.6,0,1,1,466262.84
242.17,6,4,4.31,100.3,0,3,3,371069.6
263.78,7,4,7.39,5.6,1,1,1,385353.58
195.92,7,4,5.38,113.7,1,1,7,385611.78
138.49,7,4,13.24,15.4,0,0,5,282328.32
151.61,7,4,8.56,4.1,1,1,12,393921.51
278.83,3,3,20.01,49.7,0,4,4,332319.29
308.38,3,3,19.15,23.4,1,3,14,416714.74
322.88,2,2,36.08,22.1,1,2,7,345724.05
322.16,7,4,1.58,34.5,1,2,9,487882.01
63.75,1,1,12.93,29.8,1,0,6,86832.98
212.94,4,3,23.95,82.2,1,1,14,288749.05
51.3,2,1,24.27,22.4,1,0,9,88225.27
233.33,1,1,19.31,65.2,0,2,6,247917.59
193.37,7,4,32.66,118.4,0,4,10,348926.45
358.45,5,4,2.7,51.9,1,6,9,509092.16
159.84,7,4,32.66,77.0,1,3,6,380985.73
73.31,3,2,19.89,116.3,1,1,14,156413.73
82.91,4,4,5.52,16.5,0,3,9,178093.07
311.76,6,4,35.45,50.2,1,3,13,493678.71
258.74,4,4,26.04,102.0,1,2,14,370819.61
67.42,6,4,6.71,111.9,1,2,3,187511.26
61.12,4,4,1.54,72.1,0,0,5,166152.63
289.36,3,3,5.82,17.2,1,2,11,403863.39
56.92,6,4,24.43,108.2,0,2,5,187445.01
334.09,1,1,7.34,20.9,0,2,13,362911.32
291.31,6,4,9.19,42.3,1,2,10,460783.78
60.1,2,2,1.2,45.1,1,0,14,122920.26
61.39,1,1,28.97,53.7,1,4,8,115822.71
395.06,2,1,32.45,94.8,1,1,11,407468.97
168.48,7,4,31.91,96.3,1,3,13,304055.1
167.14,4,4,5.28,86.4,1,1,13,302334.47
330.74,1,1,36.15,2.7,0,2,11,326354.51
380.48,4,3,26.96,67.8,1,3,7,488446.88
394.82,7,4,35.92,89.7,1,0,2,519906.18
308.75,5,4,18.0,53.4,1,4,11,424536.82
169.22,4,4,17.59,113.4,1,5,2,289092.72
60.9,7,4,31.42,98.9,1,3,7,232270.59
317.54,4,4,3.91,76.6,1,2,10,427779.63
236.61,7,4,20.93,7.5,1,3,12,388693.02
186.96,2,1,33.49,78.3,0,1,10,193097.92
365.35,7,4,33.24,109.4,1,4,4,530410.26
71.14,6,4,38.25,45.5,0,1,6,200954.66
212.27,5,4,27.99,100.6,1,1,9,327827.44
34.2,4,4,8.47,37.6,0,3,10,145409.33
203.4,7,4,1.01,68.4,1,2,11,376041.43
50.83,7,4,19.28,77.8,0,3,4,172733.13
73.96,4,3,20.65,81.4,1,3,7,177766.39
73.48,5,4,9.76,105.9,1,5,9,230855.17
270.21,5,4,5.16,28.2,1,4,14,413809.9
306.04,7,4,23.53,31.5,1,2,1,448798.22
245.85,1,1,30.62,84.5,1,2,10,226496.34
386.0,2,2,39.73,21.3,0,0,11,383599.26
168.7,5,4,30.38,55.7,1,3,2,276478.85
135.71,5,4,31.79,2.4,0,0,13,234664.92
351.38,3,2,24.74,16.9,1,3,9,424713.57
112.73,6,4,39.44,81.5,1,1,13,271566.41
386.39,5,4,25.67,89.7,1,3,5,513847.76
34.5,2,2,34.44,13.8,1,2,4,111343.82
388.86,6,4,37.84,27.3,1,1,7,555905.56
45.97,6,4,37.21,11.9,0,3,5,185597.99
359.72,4,3,15.38,52.0,1,2,1,434940.72
225.25,4,3,3.33,15.1,0,2,9,313012.85
397.4,4,3,7.04,52.5,0,3,8,534048.89
57.3,4,3,2.56,87.9,1,1,3,158323.57
234.93,3,2,4.39,82.0,0,3,10,281023.68
388.64,5,4,7.55,33.7,1,3,3,544371.06
223.55,4,3,13.78,80.9,1,2,3,301287.68
262.88,7,4,21.83,111.3,1,2,7,427579.4
287.43,1,1,28.52,41.7,1,2,2,338049.42
198.18,4,3,8.59,39.5,0,2,9,291759.56
262.2,5,4,26.97,68.6,0,1,4,390729.66
246.2,4,3,28.23,29.5,1,1,7,333678.3
363.43,3,2,22.43,78.2,1,3,8,442356.25
46.82,2,2,36.16,99.9,1,7,5,53403.14
133.96,2,2,4.62,55.1,0,6,8,213250.76
381.65,5,4,7.25,81.5,1,1,4,530881.29
359.4,7,4,17.26,78.2,1,0,13,511939.81
198.59,2,2,5.24,4.6,0,2,10,242730.54
259.45,2,2,22.74,22.0,1,4,2,287530.28
132.63,1,1,16.06,107.2,0,0,3,162110.37
99.6,5,4,11.53,112.7,1,4,14,212382.55
201.57,7,4,6.97,93.7,0,0,6,313225.5
160.74,5,4,13.55,110.5,1,2,10,277106.43
245.95,2,1,24.4,36.7,1,1,13,298990.55
58.76,2,2,23.12,29.7,0,3,6,140656.02
390.53,2,2,6.71,46.1,0,1,12,465755.67
394.9,6,4,5.17,6.6,0,2,12,519111.65
288.32,3,2,1.26,97.2,1,1,12,363276.26
228.36,4,3,0.69,118.1,0,1,14,309544.4
144.53,3,3,35.22,98.9,1,2,7,202406.9
331.1,5,4,1.99,66.6,1,3,12,478424.99
283.35,1,1,29.3,35.4,1,5,11,297288.59
90.17,4,4,34.91,23.7,0,1,14,203638.14
367.04,1,1,4.1,43.7,0,3,4,355583.05
334.34,7,4,17.56,80.0,1,2,13,497513.4
381.43,6,4,38.5,53.6,1,3,8,520264.99
298.52,5,4,33.4,112.1,1,1,8,354284.49
256.96,6,4,19.69,102.5,1,5,11,401798.23
184.75,5,4,30.55,12.3,1,3,7,356743.2
375.11,1,1,33.37,15.8,0,3,3,376198.55
350.44,1,1,14.05,81.1,0,0,14,337467.12
