age,income,gender,education_level,marital_status,purchases_last_month,website_visits,account_age_months,satisfaction_score,churn
58.0,67954.03541014591,Male,High School,Divorced,6.0,13.0,104,4.03,0
45.0,63155.015620594306,Male,High School,Divorced,7.0,,49,1.29,0
24.0,56293.257543684835,,High School,Married,2.0,10.0,3,4.22,0
26.0,25178.61379874702,Male,,Married,6.0,7.0,166,3.57,0
25.0,59929.8401598292,Female,PhD,Divorced,4.0,9.0,211,1.16,0
29.0,40599.92064981915,Female,Master,Divorced,2.0,,71,2.25,1
51.0,79661.654104118,Female,Master,,4.0,11.0,15,3.04,0
50.0,53825.576934429846,Female,Bachelor,Married,2.0,8.0,38,1.75,0
65.0,40075.358875549595,Male,PhD,Single,4.0,,153,1.62,0
40.0,58769.13452239903,Male,Bachelor,Married,4.0,9.0,61,,0
41.0,85413.99170184383,Female,High School,Divorced,4.0,,214,4.65,0
54.0,72616.31698289239,,,Single,3.0,,215,1.22,0
52.0,64398.34301211868,Male,PhD,Married,4.0,13.0,178,2.46,0
61.0,,Male,High School,Divorced,,9.0,10,1.82,0
57.0,92432.00199532643,Male,PhD,Married,,18.0,100,3.96,0
39.0,47567.45651928194,,Master,,4.0,16.0,101,3.83,0
44.0,78675.67825744685,Male,,Divorced,5.0,14.0,178,4.22,0
52.0,53492.7424329717,Male,High School,Married,6.0,7.0,123,3.47,0
18.0,76750.15744966478,Female,,Single,2.0,10.0,234,3.37,0
52.0,86137.48191750547,Female,Master,Single,,11.0,42,2.63,0
54.0,72962.74539815067,Female,Bachelor,Married,9.0,8.0,234,,0
64.0,75117.0991951988,Male,Master,Single,,10.0,199,1.46,0
31.0,58031.220276887354,Male,High School,Divorced,3.0,8.0,180,3.74,0
20.0,51320.67715854378,Female,Master,Single,5.0,,174,1.42,0
18.0,62765.97379571621,Male,Bachelor,Married,6.0,7.0,217,4.45,0
22.0,53201.70988461566,Male,Master,,5.0,7.0,40,3.02,0
43.0,109344.07421624984,Male,High School,Single,8.0,7.0,186,3.12,0
31.0,40152.83427018973,Female,Master,Single,6.0,12.0,233,3.34,0
56.0,80041.70433180819,,Bachelor,Divorced,6.0,7.0,24,4.1,0
,70343.93669078028,Male,High School,Divorced,3.0,10.0,69,2.91,0
26.0,,Male,Bachelor,,4.0,12.0,85,2.71,0
32.0,89597.7219982768,Male,Master,Divorced,,12.0,168,2.15,0
32.0,65967.54905202358,Male,PhD,Married,2.0,9.0,148,1.51,1
43.0,47301.861605151695,Female,Bachelor,Single,3.0,9.0,29,1.76,0
59.0,,Female,Master,,,,37,1.0,0
30.0,56336.43462189543,,PhD,Single,4.0,11.0,20,4.48,0
68.0,70065.69337633297,Male,,Married,7.0,16.0,146,4.06,0
,76261.47263258997,Female,High School,Married,3.0,,4,1.87,0
56.0,42818.241152718605,Male,PhD,Divorced,1.0,13.0,139,1.01,0
,83906.72236005632,Female,Bachelor,Single,2.0,10.0,192,2.97,0
,54902.00310263082,Male,Bachelor,Divorced,6.0,10.0,86,2.65,0
49.0,68872.27845364356,Female,PhD,Divorced,2.0,11.0,52,4.1,0
21.0,,Male,Master,Single,3.0,9.0,43,2.61,0
47.0,67347.7738126126,Male,Bachelor,,3.0,,142,4.46,0
,,Female,Bachelor,Single,6.0,9.0,122,1.38,0
40.0,50228.04836014672,Female,High School,Single,3.0,,173,2.46,1
56.0,,Male,Master,Single,3.0,5.0,156,4.74,1
62.0,91303.43865057755,Male,PhD,,7.0,10.0,132,1.05,0
32.0,42682.67125741881,Female,Master,Single,,6.0,144,2.56,0
60.0,45615.13324074067,Female,,Single,7.0,13.0,166,,0
46.0,44737.023537125715,Male,High School,Single,4.0,5.0,191,3.13,0
53.0,,Male,,Married,3.0,8.0,151,2.12,0
30.0,29505.891000243882,Female,High School,Married,2.0,8.0,77,4.48,0
49.0,32928.80287731213,Female,High School,Married,5.0,6.0,148,,0
24.0,54780.90334081484,Female,High School,,,11.0,197,4.4,0
,34244.49109403524,Female,Master,Divorced,,,83,2.59,0
39.0,,Female,High School,,8.0,6.0,149,4.96,0
45.0,,Male,,Single,4.0,15.0,170,3.94,0
,43067.76581733342,Male,PhD,Divorced,3.0,14.0,69,2.42,0
59.0,74624.93013340812,,Bachelor,Married,1.0,11.0,14,1.37,0
62.0,79114.15912242165,Male,PhD,Single,2.0,10.0,228,3.67,0
23.0,98380.01786437212,Male,Bachelor,Single,5.0,7.0,70,3.91,0
,,,Master,Married,6.0,7.0,5,1.49,1
45.0,75726.25419760894,Male,High School,Married,,8.0,152,3.2,1
61.0,80553.55349602064,Male,PhD,Married,6.0,11.0,221,,0
61.0,62622.041813718366,Male,Bachelor,Divorced,4.0,13.0,157,2.3,0
37.0,70397.29704024538,Female,Master,,3.0,13.0,2,,0
47.0,98872.0609636634,Female,,,,,6,4.61,0
28.0,67424.25736113661,Male,High School,Single,6.0,13.0,34,1.47,0
45.0,83064.77157090479,Male,PhD,Single,3.0,15.0,204,4.73,0
42.0,41312.96782842978,Male,Master,Divorced,0.0,8.0,22,4.12,0
56.0,,Male,Bachelor,Single,2.0,,132,2.56,0
50.0,,Male,Master,Married,4.0,7.0,237,1.33,0
18.0,62998.63340126782,Male,Bachelor,Married,5.0,,113,,0
44.0,47601.31625190208,,Bachelor,Single,2.0,,134,2.5,0
69.0,108147.55167862438,Male,High School,Single,,,67,3.82,0
30.0,63451.88207829732,Male,High School,Divorced,,8.0,77,2.95,0
58.0,,,Bachelor,Married,,7.0,191,3.95,0
20.0,63032.3765472126,Male,PhD,Married,5.0,5.0,215,3.68,0
56.0,302542.6702611635,Male,,Single,4.0,120.0,227,3.29,0
23.0,63756.05095782177,Male,Master,Single,7.0,10.0,90,4.87,0
25.0,28125.65969297934,Male,High School,,5.0,6.0,116,3.91,0
44.0,85838.93393133732,Female,PhD,Married,1.0,7.0,201,4.66,0
26.0,86976.588408783,Male,Bachelor,Single,7.0,7.0,87,1.97,0
54.0,89406.41544072972,Female,High School,,,10.0,68,3.85,0
50.0,66508.63517072596,Male,Bachelor,Divorced,4.0,5.0,162,3.39,0
,,Male,,Single,3.0,,101,4.7,0
59.0,42675.461039855,Female,High School,Divorced,6.0,12.0,200,,0
61.0,76657.9865719478,Male,PhD,Divorced,3.0,10.0,162,2.12,0
41.0,,Female,,Divorced,6.0,,57,2.54,0
32.0,,Female,,Divorced,,9.0,165,1.88,0
49.0,77294.8938328168,Female,PhD,Divorced,3.0,10.0,134,1.88,0
49.0,78068.98072182201,Male,Bachelor,Married,,,71,2.88,0
41.0,61212.17671349866,Male,High School,Single,,7.0,173,4.57,0
58.0,68767.65160256806,Male,Master,Divorced,2.0,7.0,169,1.77,0
69.0,39365.65976132879,,Master,,3.0,14.0,103,2.15,0
66.0,84863.66874428716,Female,Bachelor,Divorced,4.0,11.0,228,4.41,1
66.0,42023.736239301965,Male,High School,Married,1.0,,133,2.36,0
69.0,45891.48703841648,,Master,,,14.0,60,4.85,0
29.0,,,High School,Divorced,1.0,5.0,195,,0
56.0,82290.32568436919,Female,Master,Divorced,2.0,,145,2.77,0
19.0,82278.97266431322,Male,Bachelor,Divorced,4.0,7.0,211,1.38,0
20.0,,Female,Bachelor,Married,5.0,3.0,109,4.97,0
66.0,75460.26724507623,Female,,Married,8.0,17.0,193,4.56,0
,26218.83101342208,Female,PhD,Single,3.0,6.0,101,4.27,0
66.0,45613.600197408945,Female,PhD,Married,6.0,10.0,183,1.63,0
34.0,,Female,,,10.0,13.0,9,,0
66.0,85044.25819519635,Male,Master,Single,4.0,9.0,132,4.72,0
19.0,,Male,PhD,Married,3.0,6.0,170,2.74,0
,63693.05551809201,Male,Bachelor,Married,3.0,6.0,174,3.73,0
45.0,65634.70127658748,Male,Master,Divorced,6.0,10.0,74,4.97,0
40.0,91366.78552060248,Male,Master,Single,3.0,12.0,96,2.64,0
54.0,56596.40666986897,Male,PhD,Married,1.0,8.0,129,1.45,0
49.0,168593.26914659602,,Bachelor,Married,2.0,156.0,87,4.47,0
,81743.90368790609,,Master,Divorced,2.0,9.0,115,,0
18.0,63636.78074410121,Male,Master,Single,4.0,10.0,145,4.95,1
36.0,79073.43356331562,Male,High School,Single,1.0,8.0,116,3.2,0
19.0,59104.70385226985,Male,High School,Single,3.0,11.0,222,1.12,0
61.0,43226.20952592214,Female,PhD,Single,4.0,,128,2.97,0
43.0,68056.43442165953,Male,High School,Divorced,8.0,12.0,91,3.87,1
49.0,60203.501414828606,Male,,Married,3.0,8.0,79,1.1,0
23.0,63698.845657488186,Female,PhD,Married,4.0,,118,2.65,0
49.0,92331.40988234832,Male,PhD,Single,3.0,,230,1.62,0
21.0,38025.95045230599,Male,High School,Single,,13.0,7,3.57,0
28.0,65718.37320951965,Female,Master,Single,3.0,7.0,225,4.83,0
34.0,43620.06619682646,Male,Bachelor,Married,4.0,7.0,133,3.5,0
55.0,8189.080537598842,Female,Bachelor,Married,,,180,3.78,1
41.0,59020.696219555524,,Bachelor,Single,1.0,10.0,116,2.59,1
22.0,,Male,,Divorced,,8.0,103,3.25,0
69.0,72470.44205901517,Male,Bachelor,Married,4.0,,226,3.18,0
51.0,55649.185028321124,,Master,Married,5.0,,53,4.04,0
,30219.992897520562,Female,,Single,4.0,14.0,119,4.43,0
39.0,43551.36845490274,Female,High School,,,6.0,3,3.65,0
28.0,86339.17673373407,Male,,Single,,9.0,62,4.92,0
65.0,43267.44141418738,Male,PhD,Single,2.0,8.0,32,4.31,1
,91664.51059385014,Female,High School,Divorced,7.0,8.0,2,1.5,0
50.0,80999.68585142767,Female,Master,Divorced,3.0,9.0,80,3.03,0
26.0,53644.38791327861,Male,Bachelor,Divorced,7.0,,124,4.61,0
,45418.41673794602,Male,Master,Married,2.0,12.0,81,4.78,0
33.0,80958.25938261158,Male,High School,Single,7.0,18.0,53,2.52,0
46.0,55181.775098127604,Male,Master,Married,5.0,8.0,140,3.9,0
20.0,29086.99720600083,Female,Bachelor,Divorced,8.0,16.0,124,2.64,0
37.0,71246.33241246516,Male,Bachelor,Married,4.0,13.0,133,1.49,0
53.0,68345.26895716372,Male,High School,Divorced,,,4,4.54,0
36.0,82754.12405429556,Male,Bachelor,Divorced,4.0,10.0,56,,0
,,Male,Master,Single,3.0,,80,3.02,0
20.0,49017.06045908565,Male,,Single,7.0,10.0,210,1.07,1
36.0,85393.57679204267,Male,PhD,Single,,5.0,192,4.26,0
37.0,87339.80865357687,Male,PhD,Married,2.0,10.0,45,2.91,0
49.0,64664.11927970415,Female,,Single,0.0,14.0,188,1.3,0
24.0,61206.43829065945,Female,,Divorced,3.0,9.0,148,1.76,0
69.0,33534.579537897895,Female,Master,Single,4.0,9.0,53,1.61,0
58.0,,Male,High School,Married,1.0,13.0,73,3.75,0
50.0,75215.39283918707,Female,PhD,Single,4.0,7.0,16,2.2,0
57.0,48854.39399274599,Male,Master,Single,9.0,10.0,227,,1
56.0,30863.24261213355,Male,High School,Single,7.0,12.0,93,,0
35.0,129917.55579200198,Male,Master,Married,4.0,,113,4.83,0
57.0,30731.88083146623,Male,,Divorced,4.0,7.0,30,1.55,0
18.0,105135.02792868235,Female,PhD,Divorced,3.0,7.0,20,1.92,0
28.0,,Male,PhD,Divorced,4.0,11.0,106,3.37,0
,58308.74001712384,Male,PhD,Single,4.0,14.0,214,1.6,0
42.0,46554.43455624802,Female,Master,Single,4.0,8.0,87,1.63,0
67.0,75656.74329475785,Female,,Married,6.0,11.0,180,2.35,0
,31204.515737798312,Female,High School,Divorced,4.0,9.0,36,,0
48.0,23193.419275316563,,Bachelor,Single,6.0,7.0,22,4.85,0
47.0,,Female,Bachelor,Single,4.0,9.0,129,4.37,0
,43920.552023860444,Male,,Single,4.0,9.0,21,3.78,0
52.0,74921.76239079368,Male,Bachelor,Married,3.0,12.0,176,3.88,0
24.0,,Female,,Divorced,5.0,13.0,235,,0
33.0,74168.42085789164,,High School,Married,3.0,5.0,211,3.12,0
43.0,,Female,Bachelor,Divorced,4.0,6.0,200,3.54,0
65.0,,,Bachelor,,3.0,14.0,5,3.93,1
69.0,21331.177864280377,Male,PhD,Single,3.0,5.0,120,,0
66.0,93775.8782661981,Male,High School,Single,,11.0,168,1.9,0
19.0,,,Bachelor,Single,,18.0,221,4.85,0
,50528.57532457384,Male,Bachelor,Single,6.0,9.0,82,2.34,0
65.0,,Male,Bachelor,Single,3.0,,221,2.07,0
29.0,,,High School,Divorced,3.0,,79,,0
,88405.1386488392,Male,High School,Single,5.0,,45,2.16,0
54.0,49305.6878437871,,Bachelor,Single,5.0,8.0,159,1.36,0
49.0,31625.82924905053,Female,PhD,Married,3.0,21.0,143,1.83,0
,,Female,PhD,Married,7.0,8.0,58,3.56,0
58.0,42799.7327684292,Female,Bachelor,Divorced,8.0,11.0,181,,0
52.0,39399.70848273784,Female,,,4.0,13.0,45,,0
36.0,,Male,,Married,2.0,9.0,195,1.4,0
,61727.10631000742,Male,High School,,5.0,10.0,236,1.17,1
,32377.804881705062,Male,Bachelor,Single,4.0,7.0,236,4.45,0
20.0,87702.97850424648,Male,High School,Single,6.0,12.0,170,4.04,0
37.0,73543.19424131575,Female,Master,Divorced,6.0,6.0,225,3.66,0
,52692.74018454538,Female,PhD,Married,2.0,7.0,152,1.12,0
50.0,41933.13027406004,Female,Master,Divorced,5.0,10.0,38,1.96,0
,58215.490941666714,Male,PhD,Single,7.0,8.0,51,4.25,0
69.0,77988.70081511444,Male,High School,Divorced,5.0,9.0,24,1.58,0
28.0,374458.40271996794,Male,,Divorced,3.0,132.0,205,4.25,0
66.0,81170.08600902357,Male,PhD,Divorced,6.0,12.0,91,3.34,0
25.0,50392.450180393564,Female,Bachelor,Single,3.0,8.0,161,3.96,0
53.0,1501.4964160664604,Female,High School,Divorced,4.0,10.0,147,3.58,0
55.0,84956.22395832493,Male,High School,Single,1.0,8.0,25,2.67,0
57.0,56656.07713855296,Male,Bachelor,Married,,,70,,1
37.0,73323.32130943325,Female,Bachelor,Divorced,2.0,11.0,225,3.69,0
52.0,93384.57509280604,Female,PhD,Divorced,5.0,,217,4.23,0
65.0,108688.17266475363,Female,High School,Single,2.0,9.0,215,1.18,0
42.0,,Female,PhD,Divorced,,5.0,49,2.52,0
52.0,62679.19814331289,Male,Bachelor,Single,5.0,12.0,17,2.4,0
42.0,87336.72921210891,Female,High School,Divorced,6.0,9.0,149,3.24,0
46.0,43114.41962954009,Female,,Married,3.0,8.0,43,,0
35.0,48357.76812419144,Female,PhD,Married,2.0,14.0,212,4.73,0
63.0,48239.2284308225,Female,PhD,Married,6.0,13.0,204,3.19,0
35.0,59438.19373183956,Male,PhD,Divorced,3.0,,205,4.7,0
19.0,55597.5263942006,,High School,Divorced,4.0,13.0,82,,0
52.0,48124.093554873514,Male,Bachelor,Married,2.0,10.0,150,1.77,0
33.0,40684.85168787481,Male,,Married,3.0,12.0,63,1.53,0
58.0,76238.80656790583,Male,PhD,Single,3.0,4.0,24,4.45,0
,,Male,,Single,3.0,16.0,33,3.14,0
50.0,,,PhD,Married,1.0,11.0,195,1.08,0
21.0,50378.528852310315,Female,PhD,Married,,7.0,209,4.74,0
50.0,,Female,Master,Divorced,2.0,4.0,231,2.89,0
,323632.59027277754,Female,Master,Married,20.0,8.0,224,2.2,0
38.0,48586.573027733495,Male,Master,Single,7.0,15.0,17,3.07,0
65.0,74684.36437416392,Female,PhD,Single,2.0,9.0,176,4.29,0
37.0,,Male,PhD,Single,1.0,8.0,44,,1
25.0,52476.46794436623,Female,Bachelor,Single,3.0,5.0,153,,0
24.0,,Female,,Single,2.0,,200,2.28,0
20.0,50715.578051335484,Female,Bachelor,Single,2.0,11.0,107,4.36,0
34.0,65077.2241802917,Male,Master,Married,5.0,9.0,99,4.11,0
50.0,91378.68991354991,Female,Bachelor,,4.0,8.0,188,2.6,0
65.0,52930.091075966266,Male,PhD,Single,4.0,10.0,29,3.66,0
29.0,,Male,Master,,4.0,13.0,12,2.58,0
68.0,89947.3794186825,Female,Master,,6.0,13.0,100,,0
39.0,49908.95125831565,Male,High School,Married,4.0,8.0,127,4.96,0
39.0,25032.3668771827,Male,High School,Divorced,4.0,11.0,137,3.14,0
,62661.87470273568,Female,Master,Divorced,9.0,10.0,218,4.95,0
47.0,53504.530534416495,Female,Master,Divorced,1.0,,86,3.99,0
55.0,106007.91285370343,Female,,Divorced,6.0,5.0,53,,0
55.0,69507.32068694424,Female,Master,,4.0,4.0,61,4.18,0
,57073.152926903276,,,Divorced,4.0,16.0,159,1.65,0
68.0,41510.055814887935,Female,Bachelor,Divorced,4.0,11.0,113,3.13,0
25.0,66603.33682385934,Male,PhD,Married,2.0,13.0,48,3.45,0
44.0,89134.19900123589,Female,PhD,Married,7.0,11.0,108,4.57,0
,66236.28366954521,Female,PhD,Married,2.0,9.0,222,1.84,0
51.0,,Male,Master,Single,2.0,11.0,79,4.5,0
38.0,70776.12423503908,Female,High School,Single,,17.0,47,4.74,0
47.0,295139.31051271845,Male,High School,,1.0,216.0,161,1.36,1
50.0,68972.26206636324,Female,PhD,Married,5.0,17.0,67,4.54,0
45.0,52903.85299631559,,Master,Divorced,,13.0,226,2.04,1
64.0,52434.09451477576,,Bachelor,Married,2.0,10.0,64,1.32,1
50.0,,Female,PhD,,6.0,,122,4.83,0
22.0,78844.76302994724,Male,Bachelor,,1.0,,145,2.57,0
,52635.49449517817,Female,Bachelor,Divorced,,,44,3.49,0
36.0,50805.38537251546,Female,Master,Single,8.0,15.0,5,3.21,0
21.0,41158.68196875267,Male,Master,Divorced,3.0,9.0,94,1.85,0
52.0,69080.27603433534,Female,,Divorced,3.0,14.0,190,3.68,0
66.0,66234.03604262437,Female,High School,,7.0,,235,1.18,0
34.0,51024.63551022738,Male,Master,Divorced,5.0,11.0,191,1.81,0
61.0,45812.42584884278,Female,PhD,Married,,7.0,79,4.78,0
45.0,97523.46826455425,Male,High School,Divorced,6.0,7.0,39,4.81,0
47.0,22391.13889750324,Female,Bachelor,Divorced,4.0,7.0,200,2.93,0
46.0,69863.44006403442,Male,PhD,,3.0,9.0,170,1.68,0
63.0,85828.07096432017,Female,Bachelor,Married,5.0,10.0,102,2.69,0
23.0,,Male,Master,Divorced,,,92,4.51,0
52.0,75882.80120152359,Male,Bachelor,Divorced,3.0,9.0,21,1.28,0
58.0,55594.90797007824,Female,PhD,Married,4.0,8.0,175,1.51,0
54.0,325605.48642832594,Female,Master,,50.0,15.0,74,4.58,0
41.0,53535.2407095582,Male,PhD,Single,,8.0,28,2.66,0
,81507.86891292153,Female,Bachelor,Single,,15.0,149,1.33,0
66.0,67262.38683342714,Male,PhD,Divorced,,10.0,113,1.56,0
63.0,62634.397790686315,Female,,Single,4.0,7.0,28,4.53,0
48.0,42022.787860828146,Female,Bachelor,Married,4.0,,86,2.96,0
52.0,,Male,Bachelor,,3.0,9.0,102,1.65,0
50.0,60198.62039466542,Male,High School,Divorced,6.0,,19,4.58,0
69.0,105796.11594920917,Female,High School,,,8.0,63,4.38,0
38.0,98551.3877035639,Female,PhD,Single,,10.0,116,,0
,,Female,High School,Single,4.0,10.0,180,3.32,0
40.0,46901.08078394619,Female,,,2.0,,38,1.98,0
50.0,39260.97988050117,,High School,Divorced,5.0,7.0,46,3.13,0
,,,High School,Married,3.0,8.0,152,2.12,0
35.0,63743.28040972324,Female,,Divorced,7.0,10.0,92,2.26,0
42.0,64598.52935786861,Female,Master,Married,4.0,7.0,173,3.41,1
